seg_id,seg_type,position,timestamp,real,i,j,k,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,linear_x,linear_y,linear_z,stability
1,?,NONE,20057,0.0425,0.8143,-0.5783,0.0253,1.0273,0.5781,-9.8281,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20067,0.0427,0.8140,-0.5789,0.0245,0.9883,0.5781,-9.8672,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20077,0.0427,0.8137,-0.5793,0.0240,0.9141,0.6133,-9.8672,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20087,0.0427,0.8134,-0.5797,0.0237,0.8750,0.5781,-9.8281,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20247,0.0411,0.8123,-0.5815,0.0180,0.4531,0.5391,-10.0664,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20257,0.0410,0.8123,-0.5815,0.0176,0.4531,0.5000,-10.1328,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20268,0.0410,0.8124,-0.5814,0.0173,0.4922,0.4609,-10.1055,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20278,0.0411,0.8124,-0.5814,0.0170,0.4531,0.4219,-10.1016,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20328,0.0435,0.8124,-0.5812,0.0161,0.7227,0.5781,-10.0273,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,?,NONE,20338,0.0439,0.8125,-0.5811,0.0161,0.7969,0.5391,-10.0273,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20348,0.0443,0.8125,-0.5811,0.0161,0.7578,0.5000,-9.9844,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20358,0.0446,0.8124,-0.5811,0.0160,0.7578,0.5000,-9.9844,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20408,0.0469,0.8127,-0.5806,0.0162,0.9883,0.4609,-10.0664,-0.0820,0.0703,-0.0273,0.0859,-0.1055,0.2070,4
1,R,NONE,20458,0.0486,0.8137,-0.5790,0.0161,0.7578,0.3867,-10.0273,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20468,0.0490,0.8140,-0.5786,0.0162,0.8359,0.5781,-9.9062,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20478,0.0493,0.8143,-0.5782,0.0163,0.7578,0.4609,-9.9492,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20509,0.0497,0.8151,-0.5770,0.0164,0.6836,0.5000,-9.9492,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20523,0.0500,0.8153,-0.5767,0.0163,0.6836,0.5000,-9.9062,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20535,0.0504,0.8155,-0.5764,0.0164,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20547,0.0512,0.8157,-0.5759,0.0167,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20558,0.0516,0.8159,-0.5757,0.0168,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20569,0.0520,0.8159,-0.5756,0.0168,0.9141,0.5000,-9.8281,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20598,0.0526,0.8160,-0.5754,0.0163,0.7969,0.5391,-9.8711,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20608,0.0528,0.8160,-0.5754,0.0162,0.7227,0.5391,-9.8711,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20619,0.0530,0.8159,-0.5755,0.0162,0.7578,0.5781,-9.9062,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20633,0.0533,0.8158,-0.5757,0.0164,0.9492,0.5781,-10.0273,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20649,0.0539,0.8154,-0.5761,0.0168,0.9492,0.5781,-10.0625,-0.0332,0.0742,0.0547,-0.0156,-0.1172,0.2305,4
1,R,NONE,20659,0.0533,0.8153,-0.5764,0.0170,1.0273,0.5000,-10.0664,-0.0332,0.0742,0.0547,-0.0156,-0.1172,0.2305,4
1,R,NONE,20678,0.0524,0.8151,-0.5768,0.0168,1.0273,0.5000,-10.1328,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20689,0.0526,0.8149,-0.5770,0.0164,0.9492,0.5391,-10.1367,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20699,0.0527,0.8147,-0.5773,0.0161,0.8750,0.6523,-10.1328,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20709,0.0529,0.8145,-0.5776,0.0158,0.7969,0.6133,-10.1016,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20819,0.0557,0.8112,-0.5819,0.0151,0.8750,0.3086,-10.1055,-0.1016,0.0469,0.1152,0.2773,0.0312,-0.1562,4
1,R,NONE,20829,0.0564,0.8107,-0.5825,0.0153,0.8750,0.3086,-10.1055,-0.1016,0.0469,0.1152,0.2773,0.0312,-0.1562,4
1,R,NONE,20949,0.0800,0.8026,-0.5903,0.0333,0.9492,-1.1836,-8.8398,-0.1289,0.7187,0.2598,0.0586,-0.5547,0.0234,4
2,?,NONE,21410,0.0263,0.2568,-0.9479,0.1867,2.0625,-6.0508,-9.9883,-0.0703,0.2109,4.6504,-1.4414,-2.8320,0.1328,4
2,?,NONE,21460,0.0315,0.1357,-0.9707,0.1958,2.9414,-7.1211,-9.9102,0.0508,1.4648,4.8223,0.7148,-2.9570,-0.6641,4
2,?,NONE,21470,0.0329,0.1127,-0.9735,0.1963,2.9805,-7.3125,-9.7930,0.0508,1.4648,4.8223,0.7148,-2.9570,-0.6641,4
2,?,NONE,21500,0.0333,0.0457,-0.9796,0.1927,3.2500,-7.2383,-9.9844,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21510,0.0337,0.0230,-0.9808,0.1907,3.2891,-7.2773,-10.0234,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21521,0.0352,0.0004,-0.9814,0.1886,3.3242,-7.3906,-9.9492,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21611,0.0589,-0.1697,-0.9708,0.1592,4.7812,-6.5469,-8.7227,-0.9316,0.7988,3.1738,0.7148,-2.9570,-0.6641,4
2,?,NONE,21640,0.0677,-0.2163,-0.9628,0.1470,5.8945,-6.5117,-8.1133,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21651,0.0699,-0.2292,-0.9602,0.1432,6.3516,-5.8984,-7.7266,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
